"Dates","Queue","ChatsConnected","Hot Leads","Invites Accepted","Interactive Chats","Invites Offered"
"01-03-2016 00:00","optus-CMR-Mobile-New","4","129","4","4","127"
"01-03-2016 01:00","optus-CMR-Mobile-New","0","69","0","0","27"
"01-03-2016 02:00","optus-CMR-Mobile-New","0","54","1","0","7"
"01-03-2016 03:00","optus-CMR-Mobile-New","0","37","0","0","19"
"01-03-2016 04:00","optus-CMR-Mobile-New","0","45","0","0","0"
"01-03-2016 05:00","optus-CMR-Mobile-New","0","75","1","0","55"
"01-03-2016 06:00","optus-CMR-Mobile-New","6","161","7","6","149"
"01-03-2016 07:00","optus-CMR-Mobile-New","4","366","3","2","93"
"01-03-2016 08:00","optus-CMR-Mobile-New","21","667","23","20","466"
"01-03-2016 09:00","optus-CMR-Mobile-New","19","871","21","18","606"
"01-03-2016 10:00","optus-CMR-Mobile-New","22","954","28","18","610"
"01-03-2016 11:00","optus-CMR-Mobile-New","18","961","20","15","446"
"01-03-2016 12:00","optus-CMR-Mobile-New","6","1043","6","6","229"
"01-03-2016 13:00","optus-CMR-Mobile-New","25","996","28","19","542"
"01-03-2016 14:00","optus-CMR-Mobile-New","46","937","49","39","850"
"01-03-2016 15:00","optus-CMR-Mobile-New","48","901","51","42","831"
"01-03-2016 16:00","optus-CMR-Mobile-New","25","775","27","23","512"
"01-03-2016 17:00","optus-CMR-Mobile-New","12","687","11","9","350"
"01-03-2016 18:00","optus-CMR-Mobile-New","13","612","16","11","315"
"01-03-2016 19:00","optus-CMR-Mobile-New","3","580","4","4","87"
"01-03-2016 20:00","optus-CMR-Mobile-New","12","629","16","12","327"
"01-03-2016 21:00","optus-CMR-Mobile-New","1","555","2","0","40"
"01-03-2016 22:00","optus-CMR-Mobile-New","6","429","7","6","218"
"01-03-2016 23:00","optus-CMR-Mobile-New","3","282","2","1","94"
"02-03-2016 00:00","optus-CMR-Mobile-New","3","164","5","3","127"
"02-03-2016 01:00","optus-CMR-Mobile-New","2","79","1","2","7"
"02-03-2016 02:00","optus-CMR-Mobile-New","1","55","1","1","10"
"02-03-2016 03:00","optus-CMR-Mobile-New","0","41","0","0","0"
"02-03-2016 04:00","optus-CMR-Mobile-New","0","45","1","0","6"
"02-03-2016 05:00","optus-CMR-Mobile-New","0","81","0","0","25"
"02-03-2016 06:00","optus-CMR-Mobile-New","1","179","1","1","45"
"02-03-2016 07:00","optus-CMR-Mobile-New","2","393","3","2","34"
"02-03-2016 08:00","optus-CMR-Mobile-New","22","713","24","22","449"
"02-03-2016 09:00","optus-CMR-Mobile-New","6","881","11","6","360"
"02-03-2016 10:00","optus-CMR-Mobile-New","21","920","24","16","556"
"02-03-2016 11:00","optus-CMR-Mobile-New","18","1038","24","17","476"
"02-03-2016 12:00","optus-CMR-Mobile-New","9","1047","12","8","330"
"02-03-2016 13:00","optus-CMR-Mobile-New","9","1006","12","7","374"
"02-03-2016 14:00","optus-CMR-Mobile-New","37","954","42","33","742"
"02-03-2016 15:00","optus-CMR-Mobile-New","44","986","49","40","807"
"02-03-2016 16:00","optus-CMR-Mobile-New","19","722","19","15","413"
"02-03-2016 17:00","optus-CMR-Mobile-New","9","716","13","9","286"
"02-03-2016 18:00","optus-CMR-Mobile-New","1","596","3","1","80"
"02-03-2016 19:00","optus-CMR-Mobile-New","1","627","2","1","179"
"02-03-2016 20:00","optus-CMR-Mobile-New","7","601","9","5","192"
"02-03-2016 21:00","optus-CMR-Mobile-New","1","534","2","1","33"
"02-03-2016 22:00","optus-CMR-Mobile-New","5","390","7","5","166"
"02-03-2016 23:00","optus-CMR-Mobile-New","4","239","4","3","86"
"03-03-2016 00:00","optus-CMR-Mobile-New","5","137","5","4","122"
"03-03-2016 01:00","optus-CMR-Mobile-New","3","105","3","1","51"
"03-03-2016 02:00","optus-CMR-Mobile-New","0","43","0","0","19"
"03-03-2016 03:00","optus-CMR-Mobile-New","1","42","1","1","23"
"03-03-2016 04:00","optus-CMR-Mobile-New","1","52","1","1","8"
